Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,UNIT_MEASURE,Value
2014,A,0,MOFEDIP,SD_XPD_ESED,,PT,36.65662518834542
2015,A,0,MOFEDIP,SD_XPD_ESED,,PT,40.37658878345459
2016,A,0,MOFEDIP,SD_XPD_ESED,,PT,32.5914871233359
2017,A,0,MOFEDIP,SD_XPD_ESED,,PT,32.5914871233359
2022,A,0,MOFEDIP,SD_XPD_ESED,,PT,0.32
2023,A,0,MOFEDIP,SD_XPD_ESED,,PT,0.29
2022,A,0,ZIMSTAT_National_Accounts,SG_XPD_EDUC,,PT,17.6
2023,A,0,ZIMSTAT_National_Accounts,SG_XPD_EDUC,,PT,8.82
2024,A,0,ZIMSTAT_National_Accounts,SG_XPD_EDUC,,PT,20.82
2022,A,0,MOFEDIP,SG_XPD_ESSRV,,PT,27.3
2023,A,0,MOFEDIP,SG_XPD_ESSRV,,PT,14.73
2024,A,0,MOFEDIP,SG_XPD_ESSRV,,PT,33.72
2022,A,0,MOFEDIP,SG_XPD_HLTH,,PT,8.35
2023,A,0,MOFEDIP,SG_XPD_HLTH,,PT,5.29
2024,A,0,MOFEDIP,SG_XPD_HLTH,,PT,12.86
2022,A,0,MOFEDIP,SG_XPD_PROT,,PT,1.42
2023,A,0,MOFEDIP,SG_XPD_PROT,,PT,0.62
2024,A,0,MOFEDIP,SG_XPD_PROT,,PT,0.04
